"Tipo Doc.;""N.º Doc."";""Refª Cliente"";""Data"";""Cliente"";""Contribuinte"";""País"";""Zona geográfica"";""Método de Pagamento"";""Valor Pgto."";""Comissão Pgto."";""Cód. Artigo"";""Código EAN"";""Artigos"";""Qtd."";""Uni."";""Preço unitário sem IVA"";""Total Artigo"";""Total Ilíq."";""Desc."";""Total Liq."";""Impostos"";""Desc. Financeiro"";""Total"";""Acumulado"";""Local de Descarga"";""Observações""",,,,,,,,,,,,
"Fatura;""FAT/149"";"""";""2023-01-03"";""Fernando Leboucher Tavares Tomás"";""205566510"";""Portugal"";"""";"""";"""";"""";""0005"";""cg400"";""Consultoria Apoiar Turismo (apoio a fundo perdido)"";""1","000"";""Uni."";""95","00000"";""95","00"";""95","00"";""0","00"";""95","00"";""21","85"";""0","00"";""116","85"";""116","85""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/150"";"""";""2023-01-03"";""Tiago Severo  Unipessoal Lda"";""513948031"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""30","00"";""0","00"";""30","00"";""6","90"";""0","00"";""36","90"";""9980","50"";"""";""""",,,,,
"Fatura;""FAT/150"";"""";""2023-01-03"";""Tiago Severo  Unipessoal Lda"";""513948031"";""Portugal"";"""";"""";"""";"""";""0005"";""cg400"";""Consultoria Apoiar Turismo (apoio a fundo perdido)"";""1","000"";""Uni."";""30","00000"";""30","00"";""30","00"";""0","00"";""30","00"";""6","90"";""0","00"";""36","90"";""36","90""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/151"";"""";""2023-01-03"";""Andreia & Daniela Lda"";""515647624"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""40","00"";""0","00"";""40","00"";""9","20"";""0","00"";""49","20"";""10029","70"";"""";""""",,,,,
"Fatura;""FAT/151"";"""";""2023-01-03"";""Andreia & Daniela Lda"";""515647624"";""Portugal"";"""";"""";"""";"""";""0005"";""cg400"";""Consultoria Apoiar Turismo (apoio a fundo perdido)"";""1","000"";""Uni."";""40","00000"";""40","00"";""40","00"";""0","00"";""40","00"";""9","20"";""0","00"";""49","20"";""49","20""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/152"";"""";""2023-01-03"";""MEMÓRIAS DO CORETO",UNIPESSOAL,"LDA"";""510580580"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""166","00"";""0","00"";""166","00"";""38","18"";""0","00"";""204","18"";""10233","88"";"""";""""",,,
"Fatura;""FAT/152"";"""";""2023-01-03"";""MEMÓRIAS DO CORETO",UNIPESSOAL,"LDA"";""510580580"";""Portugal"";"""";"""";"""";"""";""0005"";""cg400"";""Consultoria Apoiar Turismo (apoio a fundo perdido)"";""1","000"";""Uni."";""166","00000"";""166","00"";""166","00"";""0","00"";""166","00"";""38","18"";""0","00"";""204","18"";""204","18"""
 ,,,,,,,,,,,,
"Fatura;""FAT/153"";"""";""2023-01-03"";""Albino Correia"";""179597132"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""40","00"";""0","00"";""40","00"";""9","20"";""0","00"";""49","20"";""10283","08"";"""";""""",,,,,
"Fatura;""FAT/153"";"""";""2023-01-03"";""Albino Correia"";""179597132"";""Portugal"";"""";"""";"""";"""";""0005"";""cg400"";""Consultoria Apoiar Turismo (apoio a fundo perdido)"";""1","000"";""Uni."";""40","00000"";""40","00"";""40","00"";""0","00"";""40","00"";""9","20"";""0","00"";""49","20"";""49","20""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/154"";"""";""2023-01-03"";""Portugal Agora 360","Lda"";""514462892"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""40","00"";""0","00"";""40","00"";""9","20"";""0","00"";""49","20"";""10332","28"";"""";""""",,,,
"Fatura;""FAT/154"";"""";""2023-01-03"";""Portugal Agora 360","Lda"";""514462892"";""Portugal"";"""";"""";"""";"""";""0005"";""cg400"";""Consultoria Apoiar Turismo (apoio a fundo perdido)"";""1","000"";""Uni."";""40","00000"";""40","00"";""40","00"";""0","00"";""40","00"";""9","20"";""0","00"";""49","20"";""49","20""",
 ,,,,,,,,,,,,
"Fatura;""FAT/155"";"""";""2023-01-03"";""Cristiano Polaco Simãosinho","Unipessoal Lda"";""515042307"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""40","00"";""0","00"";""40","00"";""9","20"";""0","00"";""49","20"";""10381","48"";"""";""""",,,,
"Fatura;""FAT/155"";"""";""2023-01-03"";""Cristiano Polaco Simãosinho","Unipessoal Lda"";""515042307"";""Portugal"";"""";"""";"""";"""";""0005"";""cg400"";""Consultoria Apoiar Turismo (apoio a fundo perdido)"";""1","000"";""Uni."";""40","00000"";""40","00"";""40","00"";""0","00"";""40","00"";""9","20"";""0","00"";""49","20"";""49","20""",
 ,,,,,,,,,,,,
"Fatura;""FAT/156"";"""";""2023-01-03"";""Adriano Soares"";""207758352"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""30","00"";""0","00"";""30","00"";""6","90"";""0","00"";""36","90"";""10418","38"";"""";""""",,,,,
"Fatura;""FAT/156"";"""";""2023-01-03"";""Adriano Soares"";""207758352"";""Portugal"";"""";"""";"""";"""";""0005"";""cg400"";""Consultoria Apoiar Turismo (apoio a fundo perdido)"";""1","000"";""Uni."";""30","00000"";""30","00"";""30","00"";""0","00"";""30","00"";""6","90"";""0","00"";""36","90"";""36","90""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/157"";"""";""2023-01-03"";""Silvio Pombo"";""101951825"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""104","00"";""0","00"";""104","00"";""23","92"";""0","00"";""127","92"";""10546","30"";"""";""""",,,,,
"Fatura;""FAT/157"";"""";""2023-01-03"";""Silvio Pombo"";""101951825"";""Portugal"";"""";"""";"""";"""";""0005"";""cg400"";""Consultoria Apoiar Turismo (apoio a fundo perdido)"";""1","000"";""Uni."";""104","00000"";""104","00"";""104","00"";""0","00"";""104","00"";""23","92"";""0","00"";""127","92"";""127","92""",,
 ,,,,,,,,,,,,
