"Tipo Doc.;""N.º Doc."";""Refª Cliente"";""Data"";""Cliente"";""Contribuinte"";""País"";""Zona geográfica"";""Método de Pagamento"";""Valor Pgto."";""Comissão Pgto."";""Cód. Artigo"";""Código EAN"";""Artigos"";""Qtd."";""Uni."";""Preço unitário sem IVA"";""Total Artigo"";""Total Ilíq."";""Desc."";""Total Liq."";""Impostos"";""Desc. Financeiro"";""Total"";""Acumulado"";""Local de Descarga"";""Observações""",,,,,,,,,,,,
"Fatura;""FAT/238"";"""";""2023-08-01"";""Shfit Lda"";""516761587"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""286","00"";""0","00"";""286","00"";""65","78"";""0","00"";""351","78"";""59684","31"";"""";""""",,,,,
"Fatura;""FAT/238"";"""";""2023-08-01"";""Shfit Lda"";""516761587"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Comercial Julho"";""1","000"";""Uni."";""146","00000"";""146","00"";""146","00"";""0","00"";""146","00"";""33","58"";""0","00"";""179","58"";""179","58""",,
"Fatura;""FAT/238"";"""";""2023-08-01"";""Shfit Lda"";""516761587"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Marketing Julho"";""1","000"";""Uni."";""90","00000"";""90","00"";""90","00"";""0","00"";""90","00"";""20","70"";""0","00"";""110","70"";""290","28""",,
"Fatura;""FAT/238"";"""";""2023-08-01"";""Shfit Lda"";""516761587"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Leads Julho (inscrições acima 10ª)"";""1","000"";""Uni."";""0","00000"";""0","00"";""0","00"";""0","00"";""0","00"";""0","00"";""0","00"";""0","00"";""290","28""",,
"Fatura;""FAT/238"";"""";""2023-08-01"";""Shfit Lda"";""516761587"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Retenção DDs Julho"";""1","000"";""Uni."";""50","00000"";""50","00"";""50","00"";""0","00"";""50","00"";""11","50"";""0","00"";""61","50"";""351","78""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/239"";"""";""2023-08-01"";""Clausula Eximia - Unipessoal Lda"";""517333724"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""290","00"";""0","00"";""290","00"";""66","70"";""0","00"";""356","70"";""60041","01"";"""";""""",,,,,
"Fatura;""FAT/239"";"""";""2023-08-01"";""Clausula Eximia - Unipessoal Lda"";""517333724"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Consultoria + Coaching + Formação do Gabriel Trigo em gestão operacional e financeira"";""1","000"";""Uni."";""290","00000"";""290","00"";""290","00"";""0","00"";""290","00"";""66","70"";""0","00"";""356","70"";""356","70""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/240"";"""";""2023-08-01"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""150","00"";""0","00"";""150","00"";""34","50"";""0","00"";""184","50"";""60225","51"";"""";""""",,,,,
"Fatura;""FAT/240"";"""";""2023-08-01"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Cash Flow JULHO"";""1","000"";""Uni."";""150","00000"";""150","00"";""150","00"";""0","00"";""150","00"";""34","50"";""0","00"";""184","50"";""184","50""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/241"";"""";""2023-08-02"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""220","00"";""0","00"";""220","00"";""50","60"";""0","00"";""270","60"";""60496","11"";"""";""""",,,,,
"Fatura;""FAT/241"";"""";""2023-08-02"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";"""";"""";"""";""0004"";"""";""Sportstudio JULHO"";""1","000"";""Uni."";""220","00000"";""220","00"";""220","00"";""0","00"";""220","00"";""50","60"";""0","00"";""270","60"";""270","60""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/242"";"""";""2023-08-25"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""890","14"";""0","00"";""890","14"";""204","73"";""0","00"";""1094","87"";""61590","98"";"""";""""",,,,,
"Fatura;""FAT/242"";"""";""2023-08-25"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (Lesly)"";""1","000"";""Uni."";""890","14000"";""890","14"";""890","14"";""0","00"";""890","14"";""204","73"";""0","00"";""1094","87"";""1094","87""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/243"";"""";""2023-09-01"";""Shfit Lda"";""516761587"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""286","00"";""0","00"";""286","00"";""65","78"";""0","00"";""351","78"";""61942","76"";"""";""""",,,,,
"Fatura;""FAT/243"";"""";""2023-09-01"";""Shfit Lda"";""516761587"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Comercial Julho"";""1","000"";""Uni."";""146","00000"";""146","00"";""146","00"";""0","00"";""146","00"";""33","58"";""0","00"";""179","58"";""179","58""",,
"Fatura;""FAT/243"";"""";""2023-09-01"";""Shfit Lda"";""516761587"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Marketing Julho"";""1","000"";""Uni."";""90","00000"";""90","00"";""90","00"";""0","00"";""90","00"";""20","70"";""0","00"";""110","70"";""290","28""",,
"Fatura;""FAT/243"";"""";""2023-09-01"";""Shfit Lda"";""516761587"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Leads Julho (inscrições acima 10ª)"";""1","000"";""Uni."";""0","00000"";""0","00"";""0","00"";""0","00"";""0","00"";""0","00"";""0","00"";""0","00"";""290","28""",,
"Fatura;""FAT/243"";"""";""2023-09-01"";""Shfit Lda"";""516761587"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Retenção DDs Julho"";""1","000"";""Uni."";""50","00000"";""50","00"";""50","00"";""0","00"";""50","00"";""11","50"";""0","00"";""61","50"";""351","78""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/244"";"""";""2023-09-01"";""AQUAFITNESS - ACTIVIDADES DESPORTIVAS LDA"";""505071630"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""430","00"";""0","00"";""430","00"";""98","90"";""0","00"";""528","90"";""62471","66"";"""";""""",,,,,
"Fatura;""FAT/244"";"""";""2023-09-01"";""AQUAFITNESS - ACTIVIDADES DESPORTIVAS LDA"";""505071630"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria gestão AGOSTO"";""1","000"";""Uni."";""430","00000"";""430","00"";""430","00"";""0","00"";""430","00"";""98","90"";""0","00"";""528","90"";""528","90""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/245"";"""";""2023-09-01"";""ATITUDE POSITIVA SA"";""507580320"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""430","00"";""0","00"";""430","00"";""98","90"";""0","00"";""528","90"";""63000","56"";"""";""""",,,,,
"Fatura;""FAT/245"";"""";""2023-09-01"";""ATITUDE POSITIVA SA"";""507580320"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria gestão AGOSTO"";""1","000"";""Uni."";""430","00000"";""430","00"";""430","00"";""0","00"";""430","00"";""98","90"";""0","00"";""528","90"";""528","90""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/247"";"""";""2023-09-01"";""Clausula Eximia - Unipessoal Lda"";""517333724"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""290","00"";""0","00"";""290","00"";""66","70"";""0","00"";""356","70"";""63357","26"";"""";""""",,,,,
"Fatura;""FAT/247"";"""";""2023-09-01"";""Clausula Eximia - Unipessoal Lda"";""517333724"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Consultoria + Coaching + Formação do Gabriel Trigo em gestão operacional e financeira"";""1","000"";""Uni."";""290","00000"";""290","00"";""290","00"";""0","00"";""290","00"";""66","70"";""0","00"";""356","70"";""356","70""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/248"";"""";""2023-09-01"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""150","00"";""0","00"";""150","00"";""34","50"";""0","00"";""184","50"";""63541","76"";"""";""""",,,,,
"Fatura;""FAT/248"";"""";""2023-09-01"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Cash Flow AGOSTO"";""1","000"";""Uni."";""150","00000"";""150","00"";""150","00"";""0","00"";""150","00"";""34","50"";""0","00"";""184","50"";""184","50""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/249"";"""";""2023-09-04"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""512","96"";""0","00"";""512","96"";""117","98"";""0","00"";""630","94"";""64172","70"";"""";""""",,,,,
"Fatura;""FAT/249"";"""";""2023-09-04"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (Margarida)"";""1","000"";""Uni."";""512","96000"";""512","96"";""512","96"";""0","00"";""512","96"";""117","98"";""0","00"";""630","94"";""630","94""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/250"";"""";""2023-09-12"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""138","27"";""0","00"";""138","27"";""31","80"";""0","00"";""170","07"";""64342","77"";"""";""""",,,,,
"Fatura;""FAT/250"";"""";""2023-09-12"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (Margarida)"";""1","000"";""Uni."";""138","27000"";""138","27"";""138","27"";""0","00"";""138","27"";""31","80"";""0","00"";""170","07"";""170","07""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/251"";"""";""2023-09-15"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""21","72"";""0","00"";""21","72"";""5","00"";""0","00"";""26","72"";""64369","49"";"""";""""",,,,,
"Fatura;""FAT/251"";"""";""2023-09-15"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria - apoio Incentivo ATIVAR.PT (Filipe Costa))"";""1","000"";""Uni."";""21","72000"";""21","72"";""21","72"";""0","00"";""21","72"";""5","00"";""0","00"";""26","72"";""26","72""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/252"";"""";""2023-09-18"";""Pure Synergy Lda"";""516056085"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""1024","37"";""0","00"";""1024","37"";""235","61"";""0","00"";""1259","98"";""65629","47"";"""";""1ª tranche recebida 5.121","87 """,,,,
"Fatura;""FAT/252"";"""";""2023-09-18"";""Pure Synergy Lda"";""516056085"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria IEFP CES - processo nº 0152/TJ/23 (Claudino Veiga)"";""1","000"";""Uni."";""1024","37000"";""1024","37"";""1024","37"";""0","00"";""1024","37"";""235","61"";""0","00"";""1259","98"";""1259","98""",,
 ,,,,,,,,,,,,
"Nota de Crédito;""FAT/8"";"""";""2023-09-19"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""-138","27"";""0","00"";""-138","27"";""-31","80"";""0","00"";""-170","07"";""65459","40"";"""";""""",,,,,
"Nota de Crédito;""FAT/8"";"""";""2023-09-19"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (Margarida)"";""1","000"";""Uni."";""138","27000"";""138","27"";""-138","27"";""0","00"";""-138","27"";""-31","80"";""0","00"";""-170","07"";""-170","07""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/253"";"""";""2023-09-19"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""138","27"";""0","00"";""138","27"";""31","80"";""0","00"";""170","07"";""65629","47"";"""";""1 396","71 recebido""",,,,
"Fatura;""FAT/253"";"""";""2023-09-19"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria IEFP - Estágios ATIVAR.PT - Processo n.º 3633/TE/22 (Cristiano Ferreira)"";""1","000"";""Uni."";""138","27000"";""138","27"";""138","27"";""0","00"";""138","27"";""31","80"";""0","00"";""170","07"";""170","07""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/254"";"""";""2023-09-20"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""536","70"";""0","00"";""536","70"";""123","44"";""0","00"";""660","14"";""66289","61"";"""";""1 396","71 recebido""",,,,
"Fatura;""FAT/254"";"""";""2023-09-20"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria IEFP - Compromisso Emprego Sustentável - Processo n.º 0453/TJ/23 (Joana)"";""1","000"";""Uni."";""536","70000"";""536","70"";""536","70"";""0","00"";""536","70"";""123","44"";""0","00"";""660","14"";""660","14""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/255"";"""";""2023-09-20"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""503","10"";""0","00"";""503","10"";""115","71"";""0","00"";""618","81"";""66908","42"";"""";""1 396","71 recebido""",,,,
"Fatura;""FAT/255"";"""";""2023-09-20"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria IEFP - Compromisso Emprego Sustentável - Processo n.º 0454/TJ/23 (Ingrid)"";""1","000"";""Uni."";""503","10000"";""503","10"";""503","10"";""0","00"";""503","10"";""115","71"";""0","00"";""618","81"";""618","81""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/256"";"""";""2023-09-21"";""Prado e Palma Lda"";""509369537"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""763","42"";""0","00"";""763","42"";""175","59"";""0","00"";""939","01"";""67847","43"";"""";""""",,,,,
"Fatura;""FAT/256"";"""";""2023-09-21"";""Prado e Palma Lda"";""509369537"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (Afonso)"";""1","000"";""Uni."";""763","42000"";""763","42"";""763","42"";""0","00"";""763","42"";""175","59"";""0","00"";""939","01"";""939","01""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/257"";"""";""2023-10-02"";""Open Smile Unipessoal Lda"";""510140378"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""959","75"";""0","00"";""959","75"";""220","74"";""0","00"";""1180","49"";""69027","92"";"""";""12% + iva sobre os 7997","87 aprovado""",,,,
"Fatura;""FAT/257"";"""";""2023-10-02"";""Open Smile Unipessoal Lda"";""510140378"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria CES IEFP - processo nº 0060/TJ/23"";""1","000"";""Uni."";""959","75000"";""959","75"";""959","75"";""0","00"";""959","75"";""220","74"";""0","00"";""1180","49"";""1180","49""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/258"";"""";""2023-10-02"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""219","90"";""0","00"";""219","90"";""50","58"";""0","00"";""270","48"";""69298","40"";"""";""2221.07 euros","concedido a título de Encerramento.""",,,,
"Fatura;""FAT/258"";"""";""2023-10-02"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Estágio IEFP - Ativar - Processo n.º 2420/TE/22 (Marina Faria)"";""1","000"";""Uni."";""219","90000"";""219","90"";""219","90"";""0","00"";""219","90"";""50","58"";""0","00"";""270","48"";""270","48""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/259"";"""";""2023-10-04"";""Prado e Palma Lda"";""509369537"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""1235","91"";""0","00"";""1235","91"";""284","26"";""0","00"";""1520","17"";""70818","57"";"""";""Processo CES Afonso",nº 0567/TJ/23 - Aprovação 10299,"32""",,,
"Fatura;""FAT/259"";"""";""2023-10-04"";""Prado e Palma Lda"";""509369537"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria IEFP - Apoio CES (Afonso) - nº 0567/TJ/23"";""1","000"";""Uni."";""1235","91000"";""1235","91"";""1235","91"";""0","00"";""1235","91"";""284","26"";""0","00"";""1520","17"";""1520","17""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/260"";"""";""2023-10-04"";""AQUAFITNESS - ACTIVIDADES DESPORTIVAS LDA"";""505071630"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""430","00"";""0","00"";""430","00"";""98","90"";""0","00"";""528","90"";""71347","47"";"""";""""",,,,,
"Fatura;""FAT/260"";"""";""2023-10-04"";""AQUAFITNESS - ACTIVIDADES DESPORTIVAS LDA"";""505071630"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria gestão SET.23"";""1","000"";""Uni."";""430","00000"";""430","00"";""430","00"";""0","00"";""430","00"";""98","90"";""0","00"";""528","90"";""528","90""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/261"";"""";""2023-10-04"";""ATITUDE POSITIVA SA"";""507580320"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""430","00"";""0","00"";""430","00"";""98","90"";""0","00"";""528","90"";""71876","37"";"""";""""",,,,,
"Fatura;""FAT/261"";"""";""2023-10-04"";""ATITUDE POSITIVA SA"";""507580320"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria gestão SET.23"";""1","000"";""Uni."";""430","00000"";""430","00"";""430","00"";""0","00"";""430","00"";""98","90"";""0","00"";""528","90"";""528","90""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/262"";"""";""2023-10-04"";""Shfit Lda"";""516761587"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""286","00"";""0","00"";""286","00"";""65","78"";""0","00"";""351","78"";""72228","15"";"""";""""",,,,,
"Fatura;""FAT/262"";"""";""2023-10-04"";""Shfit Lda"";""516761587"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Comercial Setembro"";""1","000"";""Uni."";""146","00000"";""146","00"";""146","00"";""0","00"";""146","00"";""33","58"";""0","00"";""179","58"";""179","58""",,
"Fatura;""FAT/262"";"""";""2023-10-04"";""Shfit Lda"";""516761587"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Marketing Setembro"";""1","000"";""Uni."";""90","00000"";""90","00"";""90","00"";""0","00"";""90","00"";""20","70"";""0","00"";""110","70"";""290","28""",,
"Fatura;""FAT/262"";"""";""2023-10-04"";""Shfit Lda"";""516761587"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Leads Setembro (inscrições acima 10ª)"";""1","000"";""Uni."";""0","00000"";""0","00"";""0","00"";""0","00"";""0","00"";""0","00"";""0","00"";""0","00"";""290","28""",,
"Fatura;""FAT/262"";"""";""2023-10-04"";""Shfit Lda"";""516761587"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Retenção DDs Setembro"";""1","000"";""Uni."";""50","00000"";""50","00"";""50","00"";""0","00"";""50","00"";""11","50"";""0","00"";""61","50"";""351","78""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/263"";"""";""2023-10-04"";""Clausula Eximia - Unipessoal Lda"";""517333724"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""290","00"";""0","00"";""290","00"";""66","70"";""0","00"";""356","70"";""72584","85"";"""";""""",,,,,
"Fatura;""FAT/263"";"""";""2023-10-04"";""Clausula Eximia - Unipessoal Lda"";""517333724"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Consultoria + Coaching + Formação do Gabriel Trigo em gestão operacional e financeira"";""1","000"";""Uni."";""290","00000"";""290","00"";""290","00"";""0","00"";""290","00"";""66","70"";""0","00"";""356","70"";""356","70""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/264"";"""";""2023-10-05"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""150","00"";""0","00"";""150","00"";""34","50"";""0","00"";""184","50"";""72769","35"";"""";""""",,,,,
"Fatura;""FAT/264"";"""";""2023-10-05"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""Cash Flow SETEMBRO"";""1","000"";""Uni."";""150","00000"";""150","00"";""150","00"";""0","00"";""150","00"";""34","50"";""0","00"";""184","50"";""184","50""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/265"";"""";""2023-10-05"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""275","00"";""0","00"";""275","00"";""63","25"";""0","00"";""338","25"";""73107","60"";"""";""""",,,,,
"Fatura;""FAT/265"";"""";""2023-10-05"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";"""";"""";"""";""0003"";"""";""IEFP gestão processos - 4º trimestre 2023"";""1","000"";""Uni."";""275","00000"";""275","00"";""275","00"";""0","00"";""275","00"";""63","25"";""0","00"";""338","25"";""338","25""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/266"";"""";""2023-10-06"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""250","00"";""0","00"";""250","00"";""57","50"";""0","00"";""307","50"";""73415","10"";"""";""""",,,,,
"Fatura;""FAT/266"";"""";""2023-10-06"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";"""";"""";"""";""0004"";"""";""Sportstudio AGOSTO"";""5","000"";""Uni."";""20","00000"";""100","00"";""100","00"";""0","00"";""100","00"";""23","00"";""0","00"";""123","00"";""123","00""",,
"Fatura;""FAT/266"";"""";""2023-10-06"";""RIBEIRO DOURADO & RODRIGUES - ACTIVIDADES DESPORTIVAS LDA"";""513761985"";""Portugal"";"""";"""";"""";"""";""0004"";"""";""Sportstudio SETEMBRO"";""7","500"";""Uni."";""20","00000"";""150","00"";""150","00"";""0","00"";""150","00"";""34","50"";""0","00"";""184","50"";""307","50""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/267"";"""";""2023-10-12"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""859","97"";""0","00"";""859","97"";""197","79"";""0","00"";""1057","76"";""74472","86"";"""";""Apoio aprovado: 8686","56 (Redução 50% - 57 meses)""",,,,
"Fatura;""FAT/267"";"""";""2023-10-12"";""A Linha da Vizinha - Comércio de Mobiliário e Decoração Lda"";""505059290"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (Joana Cunha)"";""1","000"";""Uni."";""859","97000"";""859","97"";""859","97"";""0","00"";""859","97"";""197","79"";""0","00"";""1057","76"";""1057","76""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/268"";"""";""2023-10-13"";""PONTES - HOTELARIA E TURISMO LDA"";""503349453"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""427","48"";""0","00"";""427","48"";""98","32"";""0","00"";""525","80"";""74998","66"";"""";""Apoio aprovado: 6106","92 (Redução 50% - 58 meses)""",,,,
"Fatura;""FAT/268"";"""";""2023-10-13"";""PONTES - HOTELARIA E TURISMO LDA"";""503349453"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (Belany)"";""1","000"";""Uni."";""427","48000"";""427","48"";""427","48"";""0","00"";""427","48"";""98","32"";""0","00"";""525","80"";""525","80""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/269"";"""";""2023-10-13"";""PONTES - HOTELARIA E TURISMO LDA"";""503349453"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""427","48"";""0","00"";""427","48"";""98","32"";""0","00"";""525","80"";""75524","46"";"""";""Apoio aprovado: 6106","92 (Redução 50% - 58 meses)""",,,,
"Fatura;""FAT/269"";"""";""2023-10-13"";""PONTES - HOTELARIA E TURISMO LDA"";""503349453"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (SONAM)"";""1","000"";""Uni."";""427","48000"";""427","48"";""427","48"";""0","00"";""427","48"";""98","32"";""0","00"";""525","80"";""525","80""",,
 ,,,,,,,,,,,,
"Fatura;""FAT/270"";"""";""2023-10-13"";""PONTES - HOTELARIA E TURISMO LDA"";""503349453"";""Portugal"";"""";""---"";""---"";""---"";"""";"""";"""";"""";"""";"""";"""";""420","11"";""0","00"";""420","11"";""96","63"";""0","00"";""516","74"";""76041","20"";"""";""Apoio aprovado: 6001","63 (Redução 50% - 57 meses)""",,,,
"Fatura;""FAT/270"";"""";""2023-10-13"";""PONTES - HOTELARIA E TURISMO LDA"";""503349453"";""Portugal"";"""";"""";"""";"""";""0002"";""cg473"";""Consultoria Seg Social - apoio redução TSU (FLORENCIA)"";""1","000"";""Uni."";""420","11000"";""420","11"";""420","11"";""0","00"";""420","11"";""96","63"";""0","00"";""516","74"";""516","74""",,
 ,,,,,,,,,,,,
